"film","imdb_url",rating,timestamp,"backdated","directors",release_year,running_time
"The Omega Code","http://www.imdb.com/title/tt0203408/",1,1220508057,"No","Robert Marcarelli",1999,100
"The Original Kings of Comedy","http://www.imdb.com/title/tt0236388/",5,1220508057,"No","Spike Lee",2000,115
"The Other Sister","http://www.imdb.com/title/tt0123209/",3,1220508057,"No","Garry Marshall",1999,129
"The Others","http://www.imdb.com/title/tt0230600/",3,1220508057,"No","Alejandro Amenabar",2001,101
"The Out-of-Towners","http://www.imdb.com/title/tt0129280/",2,1220508057,"No","Sam Weisman",1999,90
"The People vs. Larry Flynt","http://www.imdb.com/title/tt0117318/",3,1220508057,"No","Milos Forman",1996,129
"The Perfect Storm","http://www.imdb.com/title/tt0177971/",2,1220508057,"No","Wolfgang Petersen",2000,130
"The Pest","http://www.imdb.com/title/tt0119887/",2,1220508057,"No","Paul Miller",1997,84
"The Princess Bride","http://www.imdb.com/title/tt0093779/",3,1220508057,"No","Rob Reiner",1987,98
"The Princess Diaries","http://www.imdb.com/title/tt0247638/",2,1220508057,"No","Garry Marshall",2001,115
"The Program","http://www.imdb.com/title/tt0107889/",2,1220508057,"No","David S. Ward",1993,112
"The Quiet American","http://www.imdb.com/title/tt0258068/",2,1220508057,"No","Phillip Noyce",2002,101
"The Real Cancun","http://www.imdb.com/title/tt0360916/",2,1220508057,"No","Rick de Oliveira",2003,96
"The Remains of the Day","http://www.imdb.com/title/tt0107943/",3,1220508057,"No","James Ivory",1993,134
"The Replacements","http://www.imdb.com/title/tt0191397/",2,1220508057,"No","Howard Deutch",2000,118
"The Ring","http://www.imdb.com/title/tt0298130/",3,1220508057,"No","Gore Verbinski",2002,115
"The Road to Perdition","http://www.imdb.com/title/tt0257044/",3,1220508057,"No","Sam Mendes",2002,117
"The Royal Tenenbaums","http://www.imdb.com/title/tt0265666/",5,1220508057,"No","Wes Anderson",2001,110
"The Rules of Attraction","http://www.imdb.com/title/tt0292644/",3,1220508057,"No","Roger Avary",2002,110
"The Rundown","http://www.imdb.com/title/tt0327850/",2,1220508057,"No","Peter Berg",2003,104
"The Sandlot","http://www.imdb.com/title/tt0108037/",3,1220508057,"No","David M. Evans",1993,101
"The Santa Clause","http://www.imdb.com/title/tt0111070/",3,1220508057,"No","John Pasquin",1994,97
"The School of Rock","http://www.imdb.com/title/tt0332379/",3,1220508057,"No","Richard Linklater",2003,108
"The Score","http://www.imdb.com/title/tt0227445/",3,1220508057,"No","Frank Oz",2001,124
"The Shining","http://www.imdb.com/title/tt0081505/",5,1220508057,"No","Stanley Kubrick",1980,142
"The Shipping News","http://www.imdb.com/title/tt0120824/",3,1220508057,"No","Lasse Hallstrom",2001,111
"The Siege","http://www.imdb.com/title/tt0133952/",4,1220508057,"No","Edward Zwick",1998,116
"The Silence of the Lambs","http://www.imdb.com/title/tt0102926/",5,1220508057,"No","Jonathan Demme",1991,118
"The Singing Detective","http://www.imdb.com/title/tt0314676/",1,1220508057,"No","Keith Gordon",2003,109
"The Sixth Sense","http://www.imdb.com/title/tt0167404/",3,1220508057,"No","M. Night Shyamalan",1999,107
"The Skulls","http://www.imdb.com/title/tt0192614/",2,1220508057,"No","Rob Cohen",2000,106
"The SpongeBob SquarePants Movie","http://www.imdb.com/title/tt0345950/",3,1220508057,"No","Stephen Hillenburg",2004,87
"The Squid and the Whale","http://www.imdb.com/title/tt0367089/",5,1220508057,"No","Noah Baumbach",2005,81
"The Station Agent","http://www.imdb.com/title/tt0340377/",3,1220508057,"No","Thomas McCarthy",2003,89
"The Stepford Wives","http://www.imdb.com/title/tt0327162/",1,1220508057,"No","Frank Oz",2004,93
"The Story of Us","http://www.imdb.com/title/tt0160916/",1,1220508057,"No","Rob Reiner",1999,95
"The Sum of All Fears","http://www.imdb.com/title/tt0164184/",2,1220508057,"No","Phil Alden Robinson",2002,124
"The Sweetest Thing","http://www.imdb.com/title/tt0253867/",3,1220508057,"No","Roger Kumble",2002,88
"The Talented Mr. Ripley","http://www.imdb.com/title/tt0134119/",3,1220508057,"No","Anthony Minghella",1999,139
"The Terminal","http://www.imdb.com/title/tt0362227/",1,1220508057,"No","Steven Spielberg",2004,128
"The Texas Chainsaw Massacre","http://www.imdb.com/title/tt0324216/",2,1220508057,"No","Marcus Nispel",2003,98
"The Thomas Crown Affair","http://www.imdb.com/title/tt0155267/",2,1220508057,"No","John McTiernan",1999,113
"The Toy","http://www.imdb.com/title/tt0084809/",3,1220508057,"No","Richard Donner",1982,102
"The Truman Show","http://www.imdb.com/title/tt0120382/",3,1220508057,"No","Peter Weir",1998,103
"The Truth About Cats & Dogs","http://www.imdb.com/title/tt0117979/",3,1220508057,"No","Michael Lehmann",1996,97
"The U.S. vs John Lennon","http://www.imdb.com/title/tt0478049/",3,1220508057,"No","David Leaf, John Scheinfeld",2006,99
"The Usual Suspects","http://www.imdb.com/title/tt0114814/",3,1220508057,"No","Bryan Singer",1995,106
"The Village","http://www.imdb.com/title/tt0368447/",3,1220508057,"No","M. Night Shyamalan",2004,108
"The Virgin Suicides","http://www.imdb.com/title/tt0159097/",3,1220508057,"No","Sofia Coppola",1999,97
"The War Room","http://www.imdb.com/title/tt0108515/",3,1220508057,"No","Chris Hegedus, D.A. Pennebaker",1993,96
"The Waterboy","http://www.imdb.com/title/tt0120484/",3,1220508057,"No","Frank Coraci",1998,90
"The Weather Underground","http://www.imdb.com/title/tt0343168/",3,1220508057,"No","Sam Green, Bill Siegel",2002,92
"The Wedding Crashers","http://www.imdb.com/title/tt0396269/",1,1220508057,"No","David Dobkin",2005,119
"The Wedding Planner","http://www.imdb.com/title/tt0209475/",2,1220508057,"No","Adam Shankman",2001,103
"The Wedding Singer","http://www.imdb.com/title/tt0120888/",3,1220508057,"No","Frank Coraci",1998,95
"The Whole Nine Yards","http://www.imdb.com/title/tt0190138/",2,1220508057,"No","Jonathan Lynn",2000,98
"The Wild Thornberrys Movie","http://www.imdb.com/title/tt0282120/",3,1220508057,"No","Cathy Malkasian, Jeff McGrath",2002,85
"The Wizard of Oz","http://www.imdb.com/title/tt0032138/",4,1220508057,"No","Victor Fleming",1939,101
"The Woodsman","http://www.imdb.com/title/tt0361127/",4,1220508057,"No","Nicole Kassell",2004,87
"There Will Be Blood","http://www.imdb.com/title/tt0469494/",5,1220508057,"No","Paul Thomas Anderson",2007,158
"There's Something About Mary","http://www.imdb.com/title/tt0129387/",4,1220508057,"No","Bobby Farrelly, Peter Farrelly",1998,119
"Thirteen","http://www.imdb.com/title/tt0328538/",4,1220508057,"No","Catherine Hardwicke",2003,100
"Thirteen Conversations About One Thing","http://www.imdb.com/title/tt0268690/",1,1220508057,"No","Jill Sprecher",2001,104
"Thirteen Days","http://www.imdb.com/title/tt0146309/",3,1220508057,"No","Roger Donaldson",2000,145
"This Film is Not Yet Rated","http://www.imdb.com/title/tt0493459/",3,1220508057,"No","Kirby Dick",2006,97
"This is Spinal Tap","http://www.imdb.com/title/tt0088258/",3,1220508057,"No","Rob Reiner",1984,82
"Three to Tango","http://www.imdb.com/title/tt0144640/",3,1220508057,"No","Damon Santostefano",1999,98
"Thumbsucker","http://www.imdb.com/title/tt0318761/",3,1220508057,"No","Mike Mills",2005,96
"Timecop","http://www.imdb.com/title/tt0111438/",1,1220508057,"No","Peter Hyams",1994,98
"Tin Cup","http://www.imdb.com/title/tt0117918/",3,1220508057,"No","Ron Shelton",1996,135
"Titanic","http://www.imdb.com/title/tt0120338/",3,1220508057,"No","James Cameron",1997,194
"To Kill a Mockingbird","http://www.imdb.com/title/tt0056592/",5,1220508057,"No","Robert Mulligan",1962,129
"Tokyo Godfathers","http://www.imdb.com/title/tt0388473/",3,1220508057,"No","Satoshi Kon, Shogo Furuya ",2003,92
"Tombstone","http://www.imdb.com/title/tt0108358/",5,1220508057,"No","George P. Cosmatos",1993,130
"Tomcats","http://www.imdb.com/title/tt0246989/",1,1220508057,"No","Gregory Poirier",2001,95
"Tommy Boy","http://www.imdb.com/title/tt0114694/",3,1220508057,"No","Peter Segal",1995,97
"Tomorrow Never Dies","http://www.imdb.com/title/tt0120347/",2,1220508057,"No","Roger Spottiswoode",1997,119
"Top Gun","http://www.imdb.com/title/tt0092099/",5,1220508057,"No","Tony Scott",1986,110
"Top Hat","http://www.imdb.com/title/tt0027125/",3,1220508057,"No","Mark Sandrich",1935,101
"Touching the Void","http://www.imdb.com/title/tt0379557/",3,1220508057,"No","Kevin Macdonald",2003,106
"Town & Country","http://www.imdb.com/title/tt0141907/",2,1220508057,"No","Peter Chelsom",2001,104
"Toy Story","http://www.imdb.com/title/tt0114709/",4,1220508057,"No","John Lasseter",1995,81
"Toy Story 2","thttp://www.imdb.com/title/tt0120363/",3,1220508057,"No","John Lasseter, Ash Brannon, Lee Unkrich",1999,92
"Toys","http://www.imdb.com/title/tt0105629/",1,1220508057,"No","Barry Levinson",1992,118
"Traffic","http://www.imdb.com/title/tt0181865/",5,1220508057,"No","Steven Soderbergh",2000,147
"Training Day","http://www.imdb.com/title/tt0139654/",3,1220508057,"No","Antoine Fuqua",2001,122
"Trainspotting","http://www.imdb.com/title/tt0117951/",3,1220508057,"No","Danny Boyle",1996,94
"Transformers","http://www.imdb.com/title/tt0418279/",3,1220508057,"No","Michael Bay",2007,144
"Trekkies","http://www.imdb.com/title/tt0120370/",3,1220508057,"No","Roger Nygard",1997,86
"Triplets of Belleville","http://www.imdb.com/title/tt0286244/",5,1220508057,"No","Sylvain Chomet",2003,80
"Tristram Shandy: A Cock and Bull Story","http://www.imdb.com/title/tt0423409/",2,1220508057,"No","Michael Winterbottom",2005,94
"Troy","http://www.imdb.com/title/tt0332452/",3,1220508057,"No","Wolfgang Petersen",2004,163
"True Lies","http://www.imdb.com/title/tt0111503/",5,1220508057,"No","James Cameron",1994,141
"Tupac Resurrection","http://www.imdb.com/title/tt0343121/",3,1220508057,"No","Lauren Lazin",2003,112
"Twelve Monkeys","http://www.imdb.com/title/tt0114746/",1,1220508057,"No","Terry Gilliam",1995,129
"Twister","http://www.imdb.com/title/tt0117998/",2,1220508057,"No","Jan de Bont",1996,113
"U-571","http://www.imdb.com/title/tt0141926/",2,1220508057,"No","Jonathan Mostow",2000,116
"U.S. Marshals","http://www.imdb.com/title/tt0120873/",1,1220508057,"No","Stuart Baird",1998,131
"Unbreakable","http://www.imdb.com/title/tt0217869/",3,1220508057,"No","M. Night Shyamalan",2000,106
"Uncle Buck","http://www.imdb.com/title/tt0098554/",3,1220508057,"No","John Hughes",1989,100
"Under Siege","http://www.imdb.com/title/tt0105690/",3,1220508057,"No","Andrew Davis",1992,102
"Under the Tuscan Sun","http://www.imdb.com/title/tt0328589/",2,1220508057,"No","Audrey Wells",2003,113
"Unforgiven","http://www.imdb.com/title/tt0105695/",3,1220508057,"No","Clint Eastwood",1992,131
"Urban Cowboy","http://www.imdb.com/title/tt0081696/",2,1220508057,"No","James Bridges",1980,132
"Urban Legend","http://www.imdb.com/title/tt0146336/",1,1220508057,"No","Jamie Blanks",1998,99
"V for Vendetta","http://www.imdb.com/title/tt0434409/",1,1220508057,"No","James McTeigue",2005,132
"Vanilla Sky","http://www.imdb.com/title/tt0259711/",3,1220508057,"No","Cameron Crowe",2001,136
"Varsity Blues","http://www.imdb.com/title/tt0139699/",3,1220508057,"No","Brian Robbins",1999,106
"Vegas Vacation","http://www.imdb.com/title/tt0120434/",3,1220508057,"No","Stephen Kessler",1997,93
"Vertigo","http://www.imdb.com/title/tt0052357/",2,1220508057,"No","Alfred Hitchcock",1958,128
"Wag the Dog","http://www.imdb.com/title/tt0120885/",3,1220508057,"No","Barry Levinson",1997,97
"Waiting for Guffman","http://www.imdb.com/title/tt0118111/",3,1220508057,"No","Christopher Guest",1996,84
"Waiting...","http://www.imdb.com/title/tt0348333/",3,1220508057,"No","Rob McKittrick",2005,94
"Waitress","http://www.imdb.com/title/tt0473308/",3,1220508057,"No","Adrienne Shelly",2007,108
"Walk the Line","http://www.imdb.com/title/tt0358273/",3,1220508057,"No","James Mangold",2005,136
"Walking and Talking","http://www.imdb.com/title/tt0118113/",4,1220508057,"No","Nicole Holofcener",1996,86
"Wall Street","http://www.imdb.com/title/tt0094291/",2,1220508057,"No","Oliver Stone",1987,126
"WALL-E","http://www.imdb.com/title/tt0910970/",4,1220508057,"No","Andrew Stanton",2008,98
"Wassup Rockers","http://www.imdb.com/title/tt0413466/",2,1220508057,"No","Larry Clark",2005,111
"Waterworld","http://www.imdb.com/title/tt0114898/",2,1220508057,"No","Kevin Reynolds",1995,136
"Wayne's World","http://www.imdb.com/title/tt0105793/",5,1220508057,"No","Penelope Spheeris",1992,94
"Wayne's World 2","http://www.imdb.com/title/tt0108525/",3,1220508057,"No","Stephen Surjik",1993,95
"Welcome to the Dollhouse","http://www.imdb.com/title/tt0114906/",5,1220508057,"No","Todd Solondz",1995,88
"West Side Story","http://www.imdb.com/title/tt0055614/",3,1220508057,"No","Jerome Robbins, Robert Wise",1961,152
"What About Bob?","http://www.imdb.com/title/tt0103241/",3,1220508057,"No","Frank Oz",1991,99
"What Dreams May Come","http://www.imdb.com/title/tt0120889/",2,1220508057,"No","Vincent Ward",1998,113
"What Lies Beneath","http://www.imdb.com/title/tt0161081/",2,1220508057,"No","Robert Zemeckis",2000,130
"What Women Want","http://www.imdb.com/title/tt0207201/",1,1220508057,"No","Nancy Meyers",2000,127
"What's Eating Gilbert Grape","http://www.imdb.com/title/tt0108550/",3,1220508057,"No","Lasse Hallstrom",1993,118
"When We Were Kings","http://www.imdb.com/title/tt0118147/",3,1220508057,"No","Leon Gast",1996,89
"Where the Heart Is","http://www.imdb.com/title/tt0198021/",1,1220508057,"No","Matt Williams",2000,120
"White Men Can't Jump","http://www.imdb.com/title/tt0105812/",2,1220508057,"No","Ron Shelton",1992,115
"White Noise","http://www.imdb.com/title/tt0375210/",1,1220508057,"No","Geoffrey Sax",2005,101
"White Oleander","http://www.imdb.com/title/tt0283139/",1,1220508057,"No","Peter Kosminsky",2002,109
"Who Framed Roger Rabbit?","http://www.imdb.com/title/tt0096438/",5,1220508057,"No","Robert Zemeckis",1988,104
"Who Killed the Electric Car?","http://www.imdb.com/title/tt0489037/",3,1220508057,"No","Chris Paine",2006,92
"Wild Things","http://www.imdb.com/title/tt0120890/",2,1220508057,"No","John McNaughton",1998,108
"Wild Wild West","http://www.imdb.com/title/tt0120891/",1,1220508057,"No","Barry Sonnenfeld",1999,106
"Willy Wonka & the Chocolate Factory","http://www.imdb.com/title/tt0067992/",3,1220508057,"No","Mel Stuart",1971,100
"Wolf","http://www.imdb.com/title/tt0111742/",2,1220508057,"No","Mike Nichols",1994,125
"Wonder Boys","http://www.imdb.com/title/tt0185014/",5,1220508057,"No","Curtis Hanson",2000,111
"Wonderland","http://www.imdb.com/title/tt0335563/",3,1220508057,"No","James Cox",2003,104
"Wordplay","http://www.imdb.com/title/tt0492506/",3,1220508057,"No","Patrick Creadon",2006,94
"xXx","http://www.imdb.com/title/tt0295701/",1,1220508057,"No","Rob Cohen",2002,124
"Year of the Dog","http://www.imdb.com/title/tt0756729/",3,1220508057,"No","Mike White",2007,97
"You Can Count on Me","http://www.imdb.com/title/tt0203230/",3,1220508057,"No","Kenneth Lonergan",2000,111
"You've Got Mail","http://www.imdb.com/title/tt0128853/",2,1220508057,"No","Nora Ephron",1998,119
"Z Channel: A Magnificent Obsession","http://www.imdb.com/title/tt0405496/",5,1220508057,"No","Alexandra Cassavetes",2004,120
"Zodiac","http://www.imdb.com/title/tt0443706/",5,1220508057,"No","David Fincher",2007,157
"Zoolander","http://www.imdb.com/title/tt0196229/",3,1220508057,"No","Ben Stiller",2001,89
"American Pie 2","http://www.imdb.com/title/tt0252866/",2,1220508057,"No","J.B. Rogers",2001,108
"American Splendor","http://www.imdb.com/title/tt0305206/",4,1220508057,"No","Shari Springer Berman, Robert Pulcini",2003,101
"Pineapple Express","http://www.imdb.com/title/tt0910936/",2,1220508057,"No","David Gordon Green",2008,111
"Tropic Thunder","http://www.imdb.com/title/tt0942385/",2,1220508057,"No","Ben Stiller",2008,107
"The Killing","http://www.imdb.com/title/tt0049406/",3,1220508057,"No","Stanley Kubrick",1956,85
"Control","http://www.imdb.com/title/tt0421082/",4,1220508057,"No","Anton Corbijn",2007,122
"Kinsey","http://www.imdb.com/title/tt0362269/",3,1220508057,"No","Bill Condon",2004,118
"Deliver Us From Evil","http://www.imdb.com/title/tt0814075/",3,1223277542,"No","Amy Berg",2006,101
"Revolution OS","http://www.imdb.com/title/tt0308808/",3,1223447346,"No","J.T.S. Moore",2001,85
"Cocaine Cowboys","http://www.imdb.com/title/tt0380268/",3,1223616121,"No","Billy Corben",2006,118
"The Color of Money","http://www.imdb.com/title/tt0090863/",3,1233474009,"No","Martin Scorsese",1986,119
"Billy the Kid","http://www.imdb.com/title/tt0971160/",4,1226300820,"No","Jennifer Venditti",2007,84
"Grey Gardens","http://www.imdb.com/title/tt0073076/",3,1226862514,"No","Ellen Hovde, Albert Maysles, David Maysles, Muffie Meyer",1975,100
"The Crying Game","http://www.imdb.com/title/tt0104036/",2,1226903228,"No","Neil Jordan",1992,112
"The King of Kong: A Fistful of Quarters","http://www.imdb.com/title/tt0923752/",4,1228964585,"No","Seth Gordon",2007,79
"Who the #$&% Is Jackson Pollock?","http://www.imdb.com/title/tt0487092/",3,1228975287,"No","Harry Moses",2006,74
"Helvetica","http://www.imdb.com/title/tt0847817/",3,1228980453,"No","Gary Hustwit",2007,80
"Rachel Getting Married","http://www.imdb.com/title/tt1084950/",5,1229152706,"No","Jonathan Demme",2008,113
"Be Kind Rewind","http://www.imdb.com/title/tt0799934/",3,1229247118,"No","Michel Gondry",2008,102
"Bottle Rocket","http://www.imdb.com/title/tt0115734/",2,1229323532,"No","Wes Anderson",1996,91
"Fear of a Black Hat","http://www.imdb.com/title/tt0106880/",3,1229660654,"No","Rusty Cundieff",1994,88
"Frost/Nixon","http://www.imdb.com/title/tt0870111/",3,1230880648,"No","Ron Howard",2008,122
"Valkyrie","http://www.imdb.com/title/tt0985699/",3,1230969313,"No","Bryan Singer",2008,121
"The Thin Blue Line","http://www.imdb.com/title/tt0096257/",3,1231138336,"No","Errol Morris",1988,103
"The Big Red One","http://www.imdb.com/title/tt0080437/",3,1220508057,"No","Samuel Fuller",1980,113
"Revolutionary Road","http://www.imdb.com/title/tt0959337/",3,1231745579,"No","Sam Mendes",2008,119
"Harlan County, USA","http://www.imdb.com/title/tt0074605/",3,1232398995,"No","Barbara Kopple",1976,103
"The Matrix Revolutions","http://www.imdb.com/title/tt0242653/",2,1232607121,"No","Andy Wachowski, Larry Wachowski",2003,129
"Burn After Reading","http://www.imdb.com/title/tt0887883/",2,1232743209,"No","Ethan Coen, Joel Coen",2008,96
"The Wrestler","http://www.imdb.com/title/tt1125849/",3,1232846849,"No","Darren Aronofsky",2008,111
"Once","http://www.imdb.com/title/tt0907657/",3,1232782705,"No","John Carney",2006,85
"The Matrix Revisited","http://www.imdb.com/title/tt0295432/",3,1232876333,"No","Josh Oreck",2001,123
"Another Day in Paradise","http://www.imdb.com/title/tt0127722/",2,1220508057,"Yes","Larry Clark",1998,101
"The Foot Fist Way","http://www.imdb.com/title/tt0492619/",3,1234167926,"No","Jody Hill",2006,85
"Pink Floyd The Wall","http://www.imdb.com/title/tt0084503/",2,1220508057,"Yes","Alan Parker",1982,95
"Eight Men Out","http://www.imdb.com/title/tt0095082/",3,1234334960,"No","John Sayles",1988,119
"The Fall","http://www.imdb.com/title/tt0460791/",2,1234425294,"No","Tarsem Singh",2006,117
"Man vs. Snake","http://www.imdb.com/title/tt2933794/",3,1480979691,"No","Tim Kinzy, Andrew Seklir",2015,93
"Coraline","http://www.imdb.com/title/tt0327597/",4,1235894438,"No","Henry Selick",2009,100
"American Teen","http://www.imdb.com/title/tt0486259/",3,1235962367,"No","Nanette Burstein",2008,95
"The Little Mermaid","http://www.imdb.com/title/tt0097757/",3,1237615456,"No","Ron Clements, John Musker",1989,83
"McCabe & Mrs. Miller","http://www.imdb.com/title/tt0067411/",2,1237675532,"No","Robert Altman",1971,120
"I Love You, Man","http://www.imdb.com/title/tt1155056/",3,1237698354,"No","John Hamburg",2009,105
"Milk","http://www.imdb.com/title/tt1013753/",3,1238389974,"No","Gus Van Sant",2008,128
"Adventureland","http://www.imdb.com/title/tt1091722/",5,1238909411,"No","Greg Mottola",2009,107
"Doubt","http://www.imdb.com/title/tt0918927/",3,1239419973,"No","John Patrick Shanley",2008,104
"Religulous","http://www.imdb.com/title/tt0815241/",3,1239473085,"No","Larry Charles",2008,101
"Observe and Report","http://www.imdb.com/title/tt1197628/",3,1239512477,"No","Jody Hill",2009,86
"The Fisher King","http://www.imdb.com/title/tt0101889/",2,1239514619,"No","Terry Gilliam",1991,137
"Harold and Maude","http://www.imdb.com/title/tt0067185/",2,1240284154,"No","Hal Ashby",1971,91
"My Kid Could Paint That","http://www.imdb.com/title/tt0912592/",3,1239683436,"No","Amir Bar-Lev",2007,82
"Gonzo: The Life and Work of Dr. Hunter S. Thompson","http://www.imdb.com/title/tt0479468/",3,1239758643,"No","Alex Gibney",2008,120
"Waco: The Rules of Engagement","http://www.imdb.com/title/tt0120472/",3,1239949294,"No","William Gazecki",1997,136
"Psycho","http://www.imdb.com/title/tt0054215/",5,1239949330,"No","Alfred Hitchcock",1960,109
"On the Waterfront","http://www.imdb.com/title/tt0047296/",3,1240015209,"No","Elia Kazan",1954,108
"Zach Galifianakis Live at the Purple Onion","http://www.imdb.com/title/tt0804558/",3,1240016087,"Yes","Michael Blieden",2006,72
"Manhattan Murder Mystery","http://www.imdb.com/title/tt0107507/",3,1240030899,"No","Woody Allen",1993,104
"Corpse Bride","http://www.imdb.com/title/tt0121164/",3,1240036552,"No","Tim Burton, Mike Johnson",2005,76
"The Great Buck Howard","http://www.imdb.com/title/tt0460810/",3,1240110853,"No","Sean McGinly",2008,90
"The Illusionist","http://www.imdb.com/title/tt0443543/",3,1240200906,"No","Neil Burger",2006,110
"Kicking and Screaming","http://www.imdb.com/title/tt0113537/",4,1240283793,"No","Noah Baumbach",1995,96
"His Girl Friday","http://www.imdb.com/title/tt0032599/",2,1240376451,"No","Howard Hawks",1940,92
"Synecdoche, New York","http://www.imdb.com/title/tt0383028/",3,1240644401,"No","Charlie Kaufman",2008,124
"Zack and Miri Make a Porno","http://www.imdb.com/title/tt1007028/",3,1240720628,"No","Kevin Smith",2008,101
"Vicky Cristina Barcelona","http://www.imdb.com/title/tt0497465/",5,1240727602,"No","Woody Allen",2008,96
"Role Models","http://www.imdb.com/title/tt0430922/",3,1240809513,"No","David Wain",2008,99
"Ghostbusters","http://www.imdb.com/title/tt0087332/",3,1240893750,"No","Ivan Reitman",1983,105
"Affliction","http://www.imdb.com/title/tt0118564/",3,1241250154,"No","Paul Schrader",1997,114
"Twilight","http://www.imdb.com/title/tt1099212/",3,1241407208,"No","Catherine Hardwicke",2008,122
"Tyson","http://www.imdb.com/title/tt1032821/",4,1241934613,"No","James Toback",2008,90
"Teen Wolf","http://www.imdb.com/title/tt0090142/",2,1242458933,"No","Rod Daniel",1985,91
"Girls Just Want to Have Fun","http://www.imdb.com/title/tt0089208/",2,1242460137,"Yes","Alan Metter",1985,90
"The Girlfriend Experience","http://www.imdb.com/title/tt1103982/",4,1243139374,"No","Steven Soderbergh",2009,78
"Star Trek","http://www.imdb.com/title/tt0796366/",2,1243233416,"No","J.J. Abrams",2009,127
"Enchanted","http://www.imdb.com/title/tt0461770/",3,1243319083,"No","Kevin Lima",2007,107
"Up","http://www.imdb.com/title/tt1049413/",3,1243746730,"No","Pete Docter, Bob Peterson",2009,96
"The Hangover","http://www.imdb.com/title/tt1119646/",4,1244434467,"No","Todd Phillips",2009,100
"The Curious Case of Benjamin Button","http://www.imdb.com/title/tt0421715/",2,1244440952,"No","David Fincher",2008,166
"Outrage","http://www.imdb.com/title/tt1049400/",3,1245910454,"No","Kirby Dick",2009,90
"Away We Go","http://www.imdb.com/title/tt1176740/",3,1245992830,"No","Sam Mendes",2009,98
"Food, Inc.","http://www.imdb.com/title/tt1286537/",3,1246505143,"No","Robert Kenner",2008,94
"Public Enemies","http://www.imdb.com/title/tt1152836/",3,1246505300,"No","Michael Mann",2009,140
"Year One","http://www.imdb.com/title/tt1045778/",2,1246598835,"No","Harold Ramis",2009,97
"Interstellar","http://www.imdb.com/title/tt0816692/",3,1429933860,"No","Christopher Nolan",2014,169
"Whatever Works","http://www.imdb.com/title/tt1178663/",3,1246841319,"No","Woody Allen",2009,92
"Live Nude Girls Unite!","http://www.imdb.com/title/tt0264802/",3,1246856124,"No","Vicky Funari, Julia Query",2000,75
"The Good, the Bad and the Ugly","http://www.imdb.com/title/tt0060196/",4,1246872592,"No","Sergio Leone",1966,161
"Giant","http://www.imdb.com/title/tt0049261/",2,1247207363,"No","George Stevens",1956,201
"Bruno","http://www.imdb.com/title/tt0889583/",4,1247301369,"No","Larry Charles",2009,81
"Don't Say a Word","http://www.imdb.com/title/tt0260866/",1,1247380748,"Yes","Gary Fleder",2001,113
"Moon","http://www.imdb.com/title/tt1182345/",3,1247424844,"No","Duncan Jones",2009,97
"Ghost Town","http://www.imdb.com/title/tt0995039/",3,1247424864,"No","David Koepp",2008,102
"Living in Oblivion","http://www.imdb.com/title/tt0113677/",4,1247809149,"No","Tom DiCillo",1995,90
"The Go-Getter","http://www.imdb.com/title/tt0479289/",3,1247901409,"No","Martin Hynes",2007,93
"I Love You, Beth Cooper","http://www.imdb.com/title/tt1032815/",2,1247994611,"No","Chris Columbus",2009,102
"Say Anything...","http://www.imdb.com/title/tt0098258/",3,1248074094,"No","Cameron Crowe",1989,100
"A Thin Line Between Love and Hate","http://www.imdb.com/title/tt0117891/",2,1248291876,"Yes","Martin Lawrence",1996,108
"The Godfather Part II","http://www.imdb.com/title/tt0071562/",4,1248324332,"No","Francis Ford Coppola",1974,200
"(500) Days of Summer","http://www.imdb.com/title/tt1022603/",4,1248498336,"No","Marc Webb",2009,95
"The Hurt Locker","http://www.imdb.com/title/tt0887912/",4,1248590835,"No","Kathryn Bigelow",2009,131
"Funny People","http://www.imdb.com/title/tt1201167/",4,1249112704,"No","Judd Apatow",2009,146
"Shrink","http://www.imdb.com/title/tt1247692/",3,1249203666,"No","Jonas Pate",2009,104
"Humpday","http://www.imdb.com/title/tt1334537/",3,1249281190,"No","Lynn Shelton",2009,94
"Paper Heart","http://www.imdb.com/title/tt1331064/",4,1249720055,"No","Nicholas Jasenovec",2009,88
"The Cove","http://www.imdb.com/title/tt1313104/",3,1249788517,"No","Louie Psihoyos",2009,92
"Ponyo on the Cliff by the Sea","http://www.imdb.com/title/tt0876563/",4,1250372475,"No","Hayao Miyazaki",2009,103
"The Godfather Part III","http://www.imdb.com/title/tt0099674/",3,1250372502,"No","Francis Ford Coppola",1990,162
"Crips and Bloods: Made in America","http://www.imdb.com/title/tt0479044/",3,1250465657,"No","Stacy Peralta",2008,93
"American Swing","http://www.imdb.com/title/tt1058058/",3,1250481515,"No","Jon Hart, Matthew Kaufman",2008,81
"The Age of Innocence","http://www.imdb.com/title/tt0106226/",3,1250836071,"No","Martin Scorsese",1993,139
"Inglourious Basterds","http://www.imdb.com/title/tt0361748/",5,1250922639,"No","Quentin Tarantino",2009,153
"Hannah and Her Sisters","http://www.imdb.com/title/tt0091167/",4,1251353364,"No","Woody Allen",1986,103
"Taking Woodstock","http://www.imdb.com/title/tt1127896/",3,1252379531,"No","Ang Lee",2009,110
"Anything Else","http://www.imdb.com/title/tt0313792/",4,1252379585,"No","Woody Allen",2003,108
"Cold Souls","http://www.imdb.com/title/tt1127877/",2,1252379607,"No","Sophie Barthes",2009,101
"Extract","http://www.imdb.com/title/tt1225822/",3,1252379633,"No","Mike Judge",2009,91
